rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0013.jpg,5.2,0.5369,0.4738,0.3333,1.0,4,2,False,False
76,frame_0069.jpg,27.6,0.5361,0.5722,0.1667,1.0,6,1,False,False
77,frame_0277.jpg,110.8,0.5347,0.7574,0.3333,0.28,8,2,False,False
78,frame_0129.jpg,51.6,0.5339,0.5159,0.3333,0.88,6,2,False,False
79,frame_0193.jpg,77.2,0.5332,0.5703,0.6667,0.24,8,4,False,False
80,frame_0005.jpg,2.0,0.5326,0.5651,0.1667,1.0,6,1,False,False
81,frame_0322.jpg,128.8,0.5316,0.7993,0.3333,0.16,9,2,False,False
82,frame_0201.jpg,80.4,0.5298,0.7355,0.1667,0.56,4,1,False,False
83,frame_0278.jpg,111.2,0.5288,0.7296,0.3333,0.32,8,2,False,False
84,frame_0012.jpg,4.8,0.5286,0.5571,0.1667,1.0,4,1,False,False
85,frame_0174.jpg,69.6,0.5282,0.5283,0.6667,0.32,10,4,False,False
86,frame_0109.jpg,43.6,0.5272,0.6224,0.6667,0.08,9,4,False,False
87,frame_0225.jpg,90.0,0.5272,0.7223,0.5,0.08,8,3,False,False
88,frame_0306.jpg,122.4,0.5224,0.7489,0.3333,0.24,7,2,False,False
89,frame_0007.jpg,2.8,0.5219,0.5438,0.1667,1.0,5,1,False,False
90,frame_0304.jpg,121.6,0.5209,0.6138,0.5,0.32,7,3,False,False
91,frame_0114.jpg,45.6,0.5199,0.6278,0.5,0.28,7,3,False,False
92,frame_0128.jpg,51.2,0.5191,0.5022,0.3333,0.84,8,2,False,False
93,frame_0027.jpg,10.8,0.5187,0.5373,0.1667,1.0,4,1,False,False
94,frame_0173.jpg,69.2,0.5187,0.6935,0.3333,0.36,7,2,False,False
95,frame_0305.jpg,122.0,0.5186,0.7252,0.3333,0.28,6,2,False,False
96,frame_0083.jpg,33.2,0.5177,0.5795,0.3333,0.64,3,2,False,False
97,frame_0068.jpg,27.2,0.5175,0.535,0.1667,1.0,10,1,False,False
98,frame_0081.jpg,32.4,0.5175,0.547,0.3333,0.72,6,2,False,False
99,frame_0395.jpg,158.0,0.5174,0.4868,0.8333,0.12,9,5,False,False
100,frame_0318.jpg,127.2,0.5163,0.5365,0.6667,0.24,10,4,False,False
101,frame_0120.jpg,48.0,0.5145,0.521,0.5,0.52,5,3,False,False
102,frame_0108.jpg,43.2,0.514,0.6119,0.6667,0.04,10,4,False,False
103,frame_0377.jpg,150.8,0.513,0.778,0.3333,0.12,11,2,False,False
104,frame_0308.jpg,123.2,0.5123,0.7607,0.3333,0.16,8,2,False,False
105,frame_0281.jpg,112.4,0.5112,0.5465,0.5,0.44,7,3,False,False
106,frame_0078.jpg,31.2,0.5108,0.4857,0.3333,0.84,7,2,False,False
107,frame_0180.jpg,72.0,0.5071,0.6823,0.5,0.08,8,3,False,False
108,frame_0006.jpg,2.4,0.5035,0.407,0.3333,1.0,5,2,False,False
109,frame_0015.jpg,6.0,0.4959,0.5918,0.0,1.0,4,0,False,False
110,frame_0172.jpg,68.8,0.4956,0.5313,0.5,0.4,5,3,False,False
111,frame_0213.jpg,85.2,0.4952,0.4664,0.5,0.56,5,3,False,False
112,frame_0398.jpg,159.2,0.4952,0.5944,0.5,0.24,10,3,False,False
113,frame_0396.jpg,158.4,0.4951,0.6262,0.5,0.16,9,3,False,False
114,frame_0295.jpg,118.0,0.4941,0.6162,0.1667,0.68,6,1,False,False
115,frame_0384.jpg,153.6,0.4937,0.6234,0.5,0.16,10,3,False,False
116,frame_0367.jpg,146.8,0.4933,0.7546,0.3333,0.08,10,2,False,False
117,frame_0125.jpg,50.0,0.4903,0.4926,0.3333,0.72,8,2,False,False
118,frame_0215.jpg,86.0,0.4901,0.5883,0.3333,0.48,4,2,False,False
119,frame_0098.jpg,39.2,0.49,0.6641,0.5,0.04,7,3,False,False
120,frame_0126.jpg,50.4,0.4897,0.5754,0.1667,0.76,7,1,False,False
121,frame_0381.jpg,152.4,0.4894,0.6628,0.5,0.04,8,3,False,False
122,frame_0284.jpg,113.6,0.4893,0.5547,0.3333,0.56,6,2,False,False
123,frame_0332.jpg,132.8,0.4884,0.6608,0.5,0.04,10,3,False,False
124,frame_0287.jpg,114.8,0.4879,0.5039,0.3333,0.68,8,2,False,False
125,frame_0399.jpg,159.6,0.4878,0.7635,0.1667,0.28,9,1,False,False
126,frame_0073.jpg,29.2,0.4865,0.473,0.1667,1.0,6,1,False,False
127,frame_0293.jpg,117.2,0.4865,0.469,0.3333,0.76,6,2,False,False
128,frame_0286.jpg,114.4,0.4853,0.6145,0.1667,0.64,9,1,False,False
129,frame_0302.jpg,120.8,0.4844,0.7087,0.1667,0.4,10,1,False,False
130,frame_0382.jpg,152.8,0.4831,0.6342,0.5,0.08,11,3,False,False
131,frame_0119.jpg,47.6,0.4805,0.5691,0.3333,0.48,4,2,False,False
132,frame_0209.jpg,83.6,0.4804,0.4728,0.3333,0.72,4,2,False,False
133,frame_0008.jpg,3.2,0.4798,0.4596,0.1667,1.0,4,1,False,False
134,frame_0205.jpg,82.0,0.4796,0.5712,0.1667,0.72,2,1,False,False
135,frame_0071.jpg,28.4,0.4751,0.4502,0.1667,1.0,6,1,False,False
136,frame_0195.jpg,78.0,0.4747,0.6214,0.3333,0.32,5,2,False,False
137,frame_0387.jpg,154.8,0.4717,0.7633,0.1667,0.2,13,1,False,False
138,frame_0272.jpg,108.8,0.4708,0.6097,0.5,0.08,8,3,False,False
139,frame_0368.jpg,147.2,0.4703,0.7246,0.3333,0.04,12,2,False,False
140,frame_0370.jpg,148.0,0.4703,0.6246,0.5,0.04,9,3,False,False
141,frame_0385.jpg,154.0,0.4691,0.7581,0.1667,0.2,11,1,False,False
142,frame_0176.jpg,70.4,0.4689,0.6418,0.3333,0.24,8,2,False,False
143,frame_0219.jpg,87.6,0.4678,0.5076,0.5,0.32,5,3,False,False
144,frame_0105.jpg,42.0,0.4669,0.8018,0.1667,0.08,7,1,False,False
145,frame_0192.jpg,76.8,0.4648,0.4496,0.6667,0.2,7,4,False,False
146,frame_0178.jpg,71.2,0.4643,0.5646,0.5,0.16,6,3,False,False
